Age,Income,Employment_Years,Education_Level,Credit_Score,Loan_Purpose,Loan_Amount,Loan_Term_Days,Number_of_Open_Accounts,Outstanding Debt,DTI,Credit_Worthy
26,563898,34.04,3,881,1,27802,38,8,46001,8.16,1
56,197718,4.29,2,382,3,35877,89,8,32852,16.62,0
35,518357,1.24,1,444,2,53071,28,5,16026,3.09,0
21,345329,18.16,2,349,3,7839,92,5,15432,4.47,0
42,878999,44.71,1,399,2,24699,54,7,43180,4.91,0
31,198646,7.87,1,642,1,36927,159,6,41659,20.97,1
26,538420,30.27,4,813,1,76921,228,4,30993,5.76,1
43,242123,7.8,2,519,3,96783,41,2,45586,18.83,0
19,515236,32.62,2,438,1,95363,37,8,65192,12.65,0
37,842614,22.74,2,677,1,68546,125,3,56402,6.69,1
45,922568,30.6,1,313,3,80310,179,2,42059,4.56,0
64,938074,9.13,2,312,2,83990,332,12,72109,7.69,0
24,511006,33.55,2,643,3,96312,37,10,56780,11.11,1
61,563576,44.8,4,779,3,91750,101,7,35663,6.33,1
25,885256,29.95,3,855,2,23139,31,10,36186,4.09,1
64,967381,22.21,3,871,2,45029,190,6,7811,0.81,1
52,628713,41.54,2,618,2,97467,146,8,51043,8.12,1
31,20917,0.71,2,658,3,43984,90,13,73417,350.99,0
34,882034,32.85,2,405,2,25246,6,14,34884,3.95,0
53,871007,39.99,2,488,1,45919,139,6,39350,4.52,0
57,878950,2.78,3,716,2,83262,95,7,52216,5.94,1
21,797475,20.25,4,749,1,82732,119,2,38420,4.82,1
19,59104,9.21,1,548,2,31408,120,10,67343,113.94,0
23,693422,25.49,2,690,1,13154,123,14,64807,9.35,1
59,299143,29.23,2,678,1,79706,285,2,24872,8.31,1
21,282091,13.62,3,778,1,52118,179,6,51847,18.38,1
46,475061,20.7,2,571,1,26350,325,9,48992,10.31,0
35,423157,12.57,4,716,1,14513,7,14,47137,11.14,1
43,605457,16.62,4,789,2,77491,312,3,71030,11.73,1
61,174542,7.18,2,550,3,39021,127,11,32549,18.65,0
51,149744,39.85,3,783,3,71223,77,10,4651,3.11,1
27,917116,0.45,2,383,3,74463,234,14,57279,6.25,0
53,79821,39.71,2,496,3,25885,318,14,44836,56.17,0
31,237741,25.73,3,708,3,56965,74,13,16226,6.83,1
48,269265,14.92,4,717,1,97500,271,8,45361,16.85,1
32,457651,32.54,1,520,2,96947,309,5,66329,14.49,0
25,417745,22.85,2,630,1,6961,120,13,53344,12.77,1
31,234127,22.46,4,875,2,76440,35,6,64009,27.34,1
40,294336,4.96,2,371,2,14079,207,6,57574,19.56,0
57,356246,17.53,1,390,2,66933,270,11,51933,14.58,0
38,223834,10.85,3,765,2,457,93,12,20882,9.33,1
33,778826,0.71,4,722,3,47301,177,10,33558,4.31,1
62,921326,16.2,1,512,2,54354,274,11,69731,7.57,0
35,106795,4.04,2,693,2,82260,179,13,61325,57.42,0
64,185159,11.56,1,593,3,10896,129,3,20842,11.26,0
41,348821,4.16,4,827,1,23338,125,11,13476,3.86,1
43,679987,4.54,3,758,1,94276,27,11,6672,0.98,1
42,994045,8.96,2,623,1,51078,64,5,60585,6.09,1
62,263877,44.99,3,784,1,40983,60,12,31765,12.04,1
58,219298,0.1,3,818,2,97493,219,1,53788,24.53,1
46,518843,28.74,1,567,3,85578,217,2,5962,1.15,0
32,940759,6.36,1,411,3,69496,169,10,55891,5.94,0
62,732793,41.43,4,815,1,4547,149,3,63885,8.72,1
18,156285,4.21,4,880,3,20623,270,4,5156,3.3,1
42,122412,42.98,3,537,2,64179,116,13,65769,53.73,0
24,563692,27.49,4,841,1,64923,245,9,60852,10.8,1
26,136545,0.06,3,751,2,49389,148,1,9222,6.75,1
41,438596,40.23,2,383,2,4949,92,3,44567,10.16,0
18,242128,23.48,3,810,2,24818,85,3,2712,1.12,1
61,694533,11.82,4,899,2,87962,87,13,12532,1.8,1
25,728387,34.53,4,760,2,73102,120,13,10481,1.44,1
41,830421,41.7,3,868,1,61077,340,6,40709,4.9,1
28,805945,21.77,1,320,2,88425,24,5,12192,1.51,0
34,390250,14.2,3,875,1,27235,89,3,59950,15.36,1
25,306663,35.5,3,755,3,30362,37,4,67659,22.06,1
52,801163,30.68,1,590,2,90071,342,11,3780,0.47,0
52,828871,39.99,2,599,2,34887,271,7,71191,8.59,0
50,400714,31.16,1,594,3,15789,12,3,66709,16.65,0
22,34995,10.96,4,442,1,39960,95,9,7318,20.91,0
59,43559,41.92,1,695,2,50444,31,8,56897,130.62,0
56,541244,4.72,4,816,3,67991,350,13,160,0.03,1
58,371193,12.06,4,707,3,51758,233,2,57116,15.39,1
45,418237,23.41,3,823,2,97564,340,5,67666,16.18,1
24,642288,25.46,3,800,1,65969,328,14,19463,3.03,1
26,696479,0.69,2,622,1,35430,300,4,2918,0.42,1
25,464755,35.13,4,793,2,80412,286,12,19398,4.17,1
29,508051,16.27,3,792,3,60164,35,13,26126,5.14,1
51,845782,18.29,4,828,2,27114,21,5,71863,8.5,1
50,459439,36.42,2,553,1,34663,111,3,60730,13.22,0
40,45517,17.07,4,379,3,15370,319,10,47278,103.87,0
41,491869,2.13,2,597,2,31379,348,11,14350,2.92,0
54,435466,7.94,2,330,3,98657,145,1,60716,13.94,0
52,235558,43.02,2,677,1,3757,12,8,34729,14.74,1
61,496111,3.17,3,773,1,89522,244,9,30793,6.21,1
57,895564,15.97,1,598,1,68873,146,8,7903,0.88,0
39,504282,22.64,1,581,2,1127,239,4,35159,6.97,0
44,480014,22.2,3,711,3,14299,92,12,3918,0.82,1
52,467415,0.18,4,826,2,45054,316,2,12621,2.7,1
18,537039,22.55,3,803,2,79417,323,4,73891,13.76,1
52,865978,17.27,4,886,2,15220,115,14,24692,2.85,1
54,541396,43.74,2,368,2,56912,15,9,70735,13.07,0
64,125686,7.16,3,772,3,89925,272,10,26047,20.72,1
31,632439,15.94,1,310,3,6083,22,9,22387,3.54,0
20,285471,18.88,4,746,2,66729,118,5,11272,3.95,1
18,664606,17.58,3,722,2,70425,95,5,21527,3.24,1
22,967272,29.96,3,780,1,3012,257,10,43799,4.53,1
43,739778,9.7,4,870,1,47979,331,3,25258,3.41,1
31,507602,9.95,2,632,3,21973,262,14,57986,11.42,1
56,718148,32.81,2,508,1,14432,87,6,53131,7.4,0
44,660233,22.51,2,514,3,16664,318,7,74397,11.27,0
26,233456,18.68,2,422,3,77895,58,12,26646,11.41,0
32,328974,7.61,4,866,3,20626,230,10,24190,7.35,1
32,72446,8.44,1,372,1,65581,108,14,969,1.34,0
43,428376,0.47,3,754,1,52875,19,12,5801,1.35,1
59,731943,4.11,3,717,3,86749,141,9,24230,3.31,1
30,447214,25.06,2,393,3,16106,160,7,58525,13.09,0
49,964734,40.13,4,869,2,21743,100,3,29718,3.08,1
56,160148,12.92,1,535,3,90049,265,12,73007,45.59,0
49,613629,14.75,1,453,3,63228,238,13,63239,10.31,0
21,51085,5.2,3,573,2,42623,238,7,4820,9.44,0
47,337715,17.49,2,512,3,95758,49,13,56785,16.81,0
54,427931,1.67,3,827,3,70320,165,1,69837,16.32,1
40,544006,41.29,3,740,3,73490,287,2,46936,8.63,1
56,410452,30.29,1,588,2,52884,59,4,48430,11.8,0
62,25750,44.58,4,342,1,87993,183,7,3999,15.53,0
32,920363,39.73,1,569,3,59801,147,9,41751,4.54,0
60,360912,21.28,3,882,2,18046,301,5,5181,1.44,1
46,531760,23.39,2,613,3,13227,96,8,30514,5.74,1
53,55903,8.58,2,693,2,29504,43,7,17880,31.98,1
30,223561,20.79,4,727,3,88524,354,5,61834,27.66,1
49,969597,40.64,4,713,2,17501,257,13,14317,1.48,1
24,635324,2.29,4,853,1,15528,213,3,24526,3.86,1
39,632242,38.86,3,773,1,64472,189,3,5379,0.85,1
45,532493,15.34,3,844,1,12071,131,13,48670,9.14,1
19,447530,40.48,4,861,3,88118,347,6,2578,0.58,1
59,461441,42.34,2,545,2,85604,300,10,21691,4.7,0
62,889446,30.19,2,569,3,16665,289,11,58515,6.58,0
23,448395,29.9,2,510,3,6929,137,4,60963,13.6,0
45,661593,20.37,3,723,2,76123,30,3,69196,10.46,1
45,525633,37.6,1,522,3,35535,146,4,73009,13.89,0
61,438554,43.27,2,659,2,98261,312,3,18954,4.32,1
61,505651,34.88,2,369,2,81923,105,13,63189,12.5,0
37,220753,27.99,2,319,1,39041,287,12,61801,28.0,0
47,52101,27.31,4,420,1,42559,191,10,42600,81.76,0
28,22775,38.23,3,472,1,48076,178,11,37986,166.79,0
45,655785,24.35,4,733,2,79299,345,11,13538,2.06,1
42,510399,36.17,4,849,1,9276,239,13,42718,8.37,1
56,65619,22.9,1,370,2,51616,1,12,9028,13.76,0
50,983342,2.81,4,732,3,15172,110,6,2537,0.26,1
18,272388,17.28,1,561,1,71152,338,13,2526,0.93,0
44,432755,20.0,4,715,2,97468,275,7,9177,2.12,1
30,777634,6.37,2,408,2,19789,234,4,70424,9.06,0
58,863556,4.61,3,722,2,18699,64,3,70014,8.11,1
20,85149,24.1,4,845,2,82145,244,3,17756,20.85,1
56,46616,3.83,1,313,1,35488,53,11,19609,42.06,0
23,766055,13.63,3,749,1,50703,262,3,59844,7.81,1
25,205639,33.51,1,616,1,74836,17,9,52514,25.54,1
44,712459,43.4,2,335,2,25889,302,11,71641,10.06,0
26,226903,32.3,4,714,3,77532,234,11,20694,9.12,1
54,251318,44.67,3,704,2,87567,73,14,57909,23.04,1
50,868231,31.43,2,352,3,88723,357,14,12727,1.47,0
59,372365,13.22,4,747,1,89389,91,12,6899,1.85,1
61,921311,30.24,4,710,2,52382,6,3,44946,4.88,1
41,307623,31.6,1,557,2,33564,198,3,45685,14.85,0
32,983676,16.73,1,642,1,67906,196,8,44875,4.56,1
49,381309,0.8,2,579,2,91727,296,4,69879,18.33,0
49,75863,31.64,1,509,3,42094,347,7,48009,63.28,0
41,193115,0.98,2,623,3,81696,322,3,3363,1.74,1
58,889001,28.4,2,634,3,91223,137,8,34405,3.87,1
29,515654,7.36,2,311,2,95365,267,3,11105,2.15,0
56,523323,25.45,1,550,2,25694,116,5,26049,4.98,0
19,428624,22.68,3,766,3,52663,43,1,17629,4.11,1
20,797635,0.61,2,459,2,80452,231,12,13269,1.66,0
54,733340,16.33,3,735,3,86940,58,5,64735,8.83,1
34,298495,27.05,4,848,1,28486,206,6,10705,3.59,1
19,155203,38.19,1,667,3,66752,294,7,70051,45.14,1
19,267908,39.99,1,497,1,94935,94,2,24835,9.27,0
45,851257,21.77,3,893,1,98223,36,2,48309,5.68,1
40,817781,32.78,4,821,1,17640,230,14,60738,7.43,1
54,212003,14.24,4,836,3,33856,227,9,61123,28.83,1
49,850686,15.4,2,503,3,43526,183,10,38384,4.51,0
50,844657,8.75,1,343,2,5687,262,1,50421,5.97,0
18,517599,25.29,4,758,2,83848,131,2,14841,2.87,1
36,294597,14.16,4,851,1,81439,65,2,24772,8.41,1
19,694174,3.8,2,682,3,89892,186,13,28734,4.14,1
61,693623,30.83,2,618,2,49139,117,10,19481,2.81,1
43,621982,31.85,3,740,2,10369,186,7,16946,2.72,1
49,560023,16.2,1,375,2,6188,274,6,11642,2.08,0
23,953334,3.45,4,806,3,42144,151,9,15233,1.6,1
49,854325,19.18,3,829,2,27181,352,11,44327,5.19,1
21,720033,19.91,1,394,1,61488,151,7,43852,6.09,0
28,933438,30.09,3,727,3,10643,36,3,24616,2.64,1
34,764822,14.19,1,443,2,3105,326,3,23256,3.04,0
55,589354,30.72,1,358,2,37303,95,1,30710,5.21,0
41,775675,39.22,4,828,3,16320,134,8,56174,7.24,1
22,154445,10.69,1,641,2,32796,162,1,57029,36.93,1
51,423551,44.05,2,300,2,79783,44,11,10069,2.38,0
23,961245,17.39,4,730,1,46481,300,14,42090,4.38,1
39,817124,12.03,2,321,3,48084,283,2,45833,5.61,0
28,984799,18.97,3,886,2,176,356,11,6823,0.69,1
33,589829,4.25,3,818,3,19046,240,12,20894,3.54,1
50,185129,5.66,1,583,3,83592,52,7,14252,7.7,0
26,611271,18.65,1,671,1,23571,281,1,43146,7.06,1
23,694943,34.31,2,631,1,61631,74,12,71216,10.25,1
33,173837,40.51,2,326,3,38838,295,4,51838,29.82,0
46,734647,29.92,2,642,1,40820,238,9,39381,5.36,1
20,961410,4.73,3,828,1,94773,167,8,21206,2.21,1
37,927179,30.24,2,679,2,24540,140,11,56960,6.14,1
53,891535,28.59,4,806,1,11962,139,14,66949,7.51,1
36,755035,36.26,4,829,1,68373,235,13,67786,8.98,1
43,197597,37.14,3,794,2,21888,3,8,67776,34.3,1
20,713590,39.07,2,365,2,25622,256,12,53355,7.48,0
36,432736,18.64,2,476,3,70285,278,3,74372,17.19,0
37,498454,31.4,1,574,1,69504,4,5,29029,5.82,0
49,465150,12.07,4,855,2,52389,270,4,64083,13.78,1
24,307710,44.97,3,897,1,7924,212,11,59893,19.46,1
58,879625,7.89,2,318,3,7899,216,12,14804,1.68,0
50,516440,0.46,1,682,1,85506,270,8,15654,3.03,1
57,443350,6.7,3,815,1,45247,16,11,20675,4.66,1
56,423561,34.91,3,763,1,83022,64,7,42346,10.0,1
35,796372,20.11,4,757,2,8714,239,14,39921,5.01,1
57,665303,20.14,2,572,2,25247,16,7,32615,4.9,0
18,192257,42.98,3,897,3,76737,52,10,18969,9.87,1
28,790824,41.38,1,378,1,21014,19,10,54851,6.94,0
45,244021,14.0,1,340,3,63799,325,7,62149,25.47,0
42,675244,9.41,3,704,3,9715,93,1,60662,8.98,1
40,615032,38.18,1,544,2,50885,261,13,17192,2.8,0
48,315599,40.77,3,722,1,88689,298,7,59611,18.89,1
47,528433,24.37,1,496,1,57911,17,4,45253,8.56,0
59,965522,28.32,3,825,3,79117,111,12,12094,1.25,1
52,336363,11.56,3,709,1,46998,328,3,73702,21.91,1
24,852423,36.04,3,767,2,55605,360,13,26026,3.05,1
33,617904,28.45,1,439,3,76131,94,12,34337,5.56,0
43,631726,22.66,3,810,3,91918,10,13,25437,4.03,1
19,136841,2.7,4,837,2,246,212,5,42691,31.2,1
18,684846,41.22,3,759,2,40375,237,2,70441,10.29,1
29,189934,27.7,2,426,2,16077,254,8,28095,14.79,0
22,797022,8.67,2,585,2,41665,16,12,63400,7.95,0
54,603158,27.29,4,813,2,34045,144,12,4510,0.75,1
49,106694,30.49,3,624,2,2694,42,9,70063,65.67,0
26,257068,23.66,2,312,3,76710,3,5,38678,15.05,0
58,850288,32.31,3,708,1,57755,156,3,54502,6.41,1
52,121407,26.17,2,445,1,27531,173,10,35936,29.6,0
36,513960,42.65,1,462,3,82784,24,7,67051,13.05,0
33,575667,2.42,1,522,1,88297,275,1,17796,3.09,0
20,871161,4.78,4,831,1,27671,75,10,40493,4.65,1
37,441594,7.82,4,868,3,66071,40,3,4168,0.94,1
41,256500,31.06,3,725,1,61897,302,9,51911,20.24,1
50,598641,29.05,4,824,1,44037,40,2,9305,1.55,1
41,725356,40.14,3,743,3,59743,62,11,59290,8.17,1
28,820463,32.98,1,549,1,82154,238,14,4809,0.59,0
25,231144,22.88,1,309,2,94126,245,9,74370,32.17,0
53,610270,44.63,2,404,3,86638,18,11,31898,5.23,0
55,56683,11.97,3,405,1,60151,140,1,4908,8.66,0
57,134091,37.49,1,300,1,68002,82,4,68762,51.28,0
37,137797,19.21,1,481,2,78003,189,12,1015,0.74,0
52,430834,29.19,3,843,3,77090,108,10,72305,16.78,1
42,550875,32.73,2,601,3,75304,234,13,67558,12.26,1
52,344934,28.52,2,440,1,69051,268,6,51829,15.03,0
42,313624,6.32,2,529,2,97409,104,13,58885,18.78,0
46,773890,19.93,2,363,2,75868,134,7,74399,9.61,0
35,695887,25.26,1,377,2,29139,344,3,68121,9.79,0
63,305713,38.21,3,786,2,25668,33,9,4943,1.62,1
35,817583,19.96,3,882,2,37559,237,4,62682,7.67,1
19,484310,41.34,1,618,2,7769,336,5,7371,1.52,1
52,210246,19.82,1,445,3,89849,178,8,44133,20.99,0
33,589027,24.7,1,616,1,83916,12,12,13673,2.32,1
58,577242,35.83,4,791,1,85085,351,14,52935,9.17,1
53,788223,26.24,3,822,2,35616,229,3,56210,7.13,1
50,129373,43.21,3,575,3,62584,309,8,73906,57.13,0
21,972807,29.72,3,892,3,88712,269,14,8468,0.87,1
50,578988,23.52,2,363,2,68297,358,14,26936,4.65,0
31,143728,1.06,1,631,1,23433,131,11,46722,32.51,1
38,873220,18.62,1,518,2,88395,249,1,62231,7.13,0
37,615333,13.47,1,491,3,55711,58,8,11552,1.88,0
25,451058,33.66,4,806,2,48041,4,14,54925,12.18,1
24,689260,9.37,3,840,1,38975,236,13,48653,7.06,1
20,934424,9.23,1,546,1,12798,173,11,42385,4.54,0
34,886491,8.53,4,895,3,96600,322,11,54489,6.15,1
50,546169,5.65,1,356,2,61926,36,12,48598,8.9,0
29,970541,14.0,2,344,2,31508,279,10,53275,5.49,0
39,939134,39.87,3,819,3,88521,237,8,7898,0.84,1
39,827221,34.87,4,785,2,78945,275,6,68006,8.22,1
63,408227,33.09,1,337,3,15233,296,5,47605,11.66,0
47,108059,35.88,3,481,2,73846,328,9,39820,36.85,0
55,758854,12.12,4,863,1,36226,58,6,9783,1.29,1
55,852583,39.93,3,766,3,33143,363,1,30399,3.57,1
62,462136,6.18,3,820,2,4178,18,12,53533,11.58,1
25,653676,15.14,2,425,2,54006,36,6,25689,3.93,0
44,218303,26.4,3,710,2,11237,129,1,25645,11.75,1
44,531162,4.63,4,797,3,29450,1,6,40434,7.61,1
51,493573,32.86,3,854,1,4798,64,3,20034,4.06,1
38,285406,17.43,4,786,2,33232,62,6,50967,17.86,1
47,349125,35.3,3,844,3,10265,331,13,3908,1.12,1
50,927383,22.18,1,421,2,894,146,6,36500,3.94,0
45,929531,8.14,2,397,1,13746,272,1,73222,7.88,0
64,101972,33.06,1,588,1,88815,17,13,8274,8.11,0
50,357629,11.35,2,432,1,5970,280,9,62420,17.45,0
22,74722,22.09,4,678,3,98993,98,8,44667,59.78,0
36,895931,3.4,2,636,2,30836,227,2,13479,1.5,1
21,201890,27.8,3,761,3,58184,243,2,8274,4.1,1
52,967436,29.96,3,764,2,16311,201,5,49246,5.09,1
34,289045,17.04,1,498,3,86765,179,10,46401,16.05,0
61,137473,42.95,2,424,2,59638,270,2,39709,28.88,0
45,512239,39.34,4,894,3,7477,234,11,32553,6.36,1
47,290741,31.86,4,789,2,8961,112,1,51561,17.73,1
46,411775,32.11,3,743,3,17921,66,2,26431,6.42,1
63,543260,11.36,4,820,1,78588,338,5,28576,5.26,1
23,870341,29.56,3,841,3,74683,349,11,58434,6.71,1
52,878823,8.92,3,790,1,27053,245,10,49776,5.66,1
58,759574,6.48,3,756,1,36901,245,14,43437,5.72,1
54,945767,44.98,1,603,2,18377,72,7,52625,5.56,1
41,345437,28.01,1,444,1,89539,357,5,32939,9.54,0
46,788184,19.39,3,743,1,83862,49,1,26359,3.34,1
63,176877,12.97,3,831,2,22728,346,7,8770,4.96,1
48,504895,27.18,3,780,3,82346,190,6,73796,14.62,1
52,556162,2.23,4,796,3,27902,293,7,73729,13.26,1
50,768425,4.26,3,729,1,63597,177,2,17286,2.25,1
38,892834,1.48,3,820,3,84420,161,5,22288,2.5,1
49,820511,22.46,2,640,1,69914,150,14,47362,5.77,1
40,463066,27.03,2,508,3,53802,70,8,45806,9.89,0
50,354923,2.81,2,542,3,28777,33,13,31348,8.83,0
20,639696,32.46,2,482,3,7600,284,12,8987,1.4,0
35,946522,10.37,3,857,1,4115,344,7,2067,0.22,1
42,664894,30.83,2,445,2,87472,260,6,42780,6.43,0
59,987004,44.19,4,783,3,58912,322,13,57715,5.85,1
48,140062,31.1,4,653,3,7926,77,6,56113,40.06,1
20,32100,39.74,2,532,3,9301,110,12,59033,183.9,0
57,339165,42.67,1,391,1,29148,305,1,19706,5.81,0
63,695160,21.9,4,772,2,20041,139,1,24105,3.47,1
41,410270,31.6,4,871,1,80741,35,7,42126,10.27,1
49,214472,38.34,2,489,3,58518,235,3,58853,27.44,0
64,898878,16.05,2,330,1,65789,330,6,37327,4.15,0
39,835869,11.76,3,808,3,41641,200,12,45537,5.45,1
40,254196,42.6,4,715,3,50039,325,5,54071,21.27,1
19,227609,32.68,2,394,1,70522,151,3,25100,11.03,0
44,984179,9.89,2,376,3,24050,34,6,33007,3.35,0
59,695302,20.21,3,850,3,67903,124,3,24811,3.57,1
19,303006,35.84,4,841,2,20742,32,8,7389,2.44,1
43,293813,24.62,2,530,1,66606,272,14,59248,20.17,0
34,927651,29.25,3,701,1,41707,324,7,73154,7.89,1
57,729132,33.92,2,695,3,31388,310,9,40851,5.6,1
50,822348,27.99,1,427,3,82965,124,5,25512,3.1,0
26,293022,24.3,1,647,1,14550,316,12,58613,20.0,1
60,809417,33.73,2,523,1,5718,78,1,39225,4.85,0
56,511121,32.74,4,883,1,34363,76,11,25395,4.97,1
46,224720,28.34,1,579,3,67683,60,10,53270,23.71,0
59,585523,16.19,3,736,2,75000,85,11,59460,10.16,1
43,301075,18.26,2,328,2,28894,80,8,67976,22.58,0
52,112876,43.67,3,741,3,13191,172,2,10020,8.88,1
42,544624,5.06,1,317,3,68522,258,6,22471,4.13,0
41,849365,12.08,4,830,3,87208,279,1,53977,6.35,1
30,327680,22.16,3,712,1,15261,221,6,48004,14.65,1
24,613792,37.65,1,405,3,4258,46,4,73928,12.04,0
53,643502,7.37,1,456,1,27763,73,5,29659,4.61,0
62,202220,12.46,1,358,2,85481,54,10,73906,36.55,0
37,133936,2.96,3,391,3,6833,327,7,74659,55.74,0
18,36279,31.77,1,559,3,32101,221,13,11929,32.88,0
25,219737,10.72,2,350,1,39228,337,6,34805,15.84,0
63,123751,17.49,1,432,1,49730,9,1,51244,41.41,0
33,386577,19.97,2,466,1,9429,326,9,38319,9.91,0
31,91386,40.11,4,596,2,53205,172,6,47813,52.32,0
29,106124,18.51,2,304,2,63536,84,6,45049,42.45,0
40,387894,6.54,4,835,3,90448,330,9,42876,11.05,1
32,883917,23.59,4,883,3,92735,329,12,24592,2.78,1
45,356199,43.33,2,390,1,69679,12,10,13892,3.9,0
51,111911,27.35,4,879,2,14342,32,5,7722,6.9,1
19,905050,44.25,2,607,3,99001,339,11,26153,2.89,1
49,490489,37.85,3,834,1,91914,289,6,49458,10.08,1
40,742030,1.62,4,888,1,27233,320,6,72660,9.79,1
39,467244,29.63,2,602,2,24840,304,7,71349,15.27,1
42,241094,12.9,4,826,2,31076,272,9,36113,14.98,1
39,396036,25.18,1,637,3,40167,178,5,20841,5.26,1
39,257723,12.57,2,621,3,11331,114,5,1209,0.47,1
59,353272,15.7,1,432,1,66205,26,4,18243,5.16,0
23,431324,41.54,4,871,1,3428,237,10,1972,0.46,1
32,858927,9.3,4,869,1,25361,310,4,29796,3.47,1
60,102806,39.33,3,760,3,25362,172,12,984,0.96,1
54,899617,1.37,2,349,2,3380,233,8,11503,1.28,0
50,751893,4.09,1,522,3,84783,37,13,28578,3.8,0
25,250097,38.46,3,881,2,31842,265,2,10355,4.14,1
61,994334,28.38,4,871,3,3690,13,10,67664,6.8,1
61,990013,33.63,4,851,3,50326,316,8,23861,2.41,1
22,217478,9.42,3,827,2,87642,106,2,33329,15.33,1
56,507436,24.17,1,618,3,13670,126,1,72189,14.23,1
21,714879,33.17,4,866,3,95229,336,10,42770,5.98,1
23,331793,28.23,4,839,1,89543,130,13,20772,6.26,1
62,709884,21.23,2,490,2,9633,316,9,52085,7.34,0
49,509709,43.19,3,802,2,82383,256,11,41251,8.09,1
47,709245,30.43,4,708,1,13466,115,8,47868,6.75,1
64,457585,40.85,1,543,2,76468,299,6,50581,11.05,0
52,252204,32.84,2,378,1,28425,124,4,17332,6.87,0
57,377546,33.1,3,786,2,34898,256,2,8573,2.27,1
33,837108,3.6,1,664,2,39553,139,8,9897,1.18,1
30,870525,16.18,4,721,2,22949,206,3,33078,3.8,1
59,460980,38.63,3,735,2,56043,47,10,71326,15.47,1
47,201871,10.47,3,773,1,6257,217,4,46222,22.9,1
36,361558,5.2,1,455,1,30278,319,5,41621,11.51,0
34,518512,14.67,3,755,2,82637,350,13,10265,1.98,1
36,375239,9.92,1,654,3,29130,123,4,16050,4.28,1
45,787442,41.64,4,856,1,51234,31,11,67679,8.59,1
43,616595,39.06,2,560,2,65829,55,8,29237,4.74,0
54,495278,22.49,1,559,1,8264,153,9,21124,4.27,0
43,901864,2.76,2,314,3,86478,286,14,26008,2.88,0
40,314067,32.16,3,887,3,1219,36,14,10143,3.23,1
26,399593,28.05,1,325,3,13451,306,14,28499,7.13,0
29,514955,43.67,4,722,2,56163,285,1,33227,6.45,1
18,255998,25.15,1,680,2,72176,256,2,40349,15.76,1
18,491604,15.14,1,402,3,45262,178,12,27525,5.6,0
64,854006,23.36,1,328,1,31860,36,4,49490,5.8,0
51,456607,44.07,2,641,1,49778,254,1,15299,3.35,1
49,666045,31.34,2,356,3,92164,162,11,12136,1.82,0
42,597952,30.24,3,761,2,89174,21,6,72917,12.19,1
57,873816,10.83,3,886,1,97878,294,12,36789,4.21,1
62,837459,33.46,3,747,1,47728,75,5,24921,2.98,1
18,710824,33.76,3,810,1,91994,207,13,62016,8.72,1
